best_f1,best_acc,best_loss,best_epoch,best_path
0.3561,0.3939,0.5395452380180359,28,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_0.pt
0.7398,0.766,0.15463532507419586,30,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_0.pt
0.7842,0.8134,0.15702277421951294,30,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_0.pt
0.6903,0.7331,0.15522240102291107,30,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_0.pt
0.7345,0.7729,0.1563834846019745,30,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_0.pt
0.2482,0.3223,0.6308078765869141,0,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_0.pt
0.2841,0.3153,0.6289700269699097,0,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_1.pt
0.7342,0.7582,0.12405502796173096,35,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_0.pt
0.6203,0.6983,0.10600379854440689,40,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_1.pt
0.9229,0.9379,0.41053056716918945,11,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_2.pt
0.9955,0.9963,0.4609335660934448,8,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_3.pt

0.7431,0.7731,0.2202007919549942,34,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_0.pt
0.6005,0.6105,0.47769469022750854,11,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_1.pt
0.944,0.9524,0.4791686534881592,11,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_2.pt
0.9946,0.9956,0.5121521353721619,8,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_3.pt
0.6925,0.7466,0.3559266924858093,21,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_4.pt
0.8179,0.8396,0.09625515341758728,55,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_5.pt
0.9923,0.9933,0.12234073132276535,56,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_6.pt
0.8341,0.8435,0.18210721015930176,39,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_7.pt
0.9904,0.992,0.07853442430496216,64,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_8.pt
0.9957,0.9964,0.23531335592269897,32,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_9.pt
1.0,1.0,0.53568035364151,6,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_10.pt
0.9293,0.9399,0.28155261278152466,28,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_11.pt
0.995,0.9958,0.06716668605804443,68,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_12.pt
0.8303,0.8669,0.07612219452857971,62,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_13.pt
1.0,1.0,0.3906564712524414,18,./save/dual_branch_no_scale/moe_dual_branch_PsychioNet_0/finetune/WESADDataset/finetuned_best_14.pt
