best_f1,best_acc,best_loss,best_epoch,best_path
0.2413,0.3181,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt
0.2267,0.2931,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt
0.2276,0.2946,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt
0.2264,0.2926,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt
0.2349,0.3069,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt
0.2245,0.2894,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt
0.2409,0.3173,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt
0.2322,0.3025,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt
0.2286,0.2964,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt
0.2324,0.3028,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt
0.225,0.2903,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt
0.2294,0.2977,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt
0.2251,0.2905,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt
0.2324,0.3028,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt
0.2337,0.3049,,,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt

0.5753,0.6097,0.5645058751106262,14,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt
0.4819,0.5925,0.523410975933075,20,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt
0.8214,0.8516,0.42204374074935913,99,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt
0.8085,0.8474,0.5610774755477905,15,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt
0.4716,0.4746,0.5449053049087524,17,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt
0.7944,0.8064,0.38969147205352783,87,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt
0.9438,0.9504,0.456758052110672,99,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt
0.7248,0.729,0.3897677958011627,99,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt
0.7009,0.7603,0.42162445187568665,96,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt
0.8059,0.8144,0.5493813753128052,17,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt
0.9765,0.981,0.4833090901374817,60,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt
0.6408,0.6458,0.4344206154346466,40,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt
0.9052,0.9225,0.3815465271472931,92,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt
0.8735,0.9039,0.4919886589050293,30,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt
0.9122,0.9206,0.5557740926742554,18,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt

0.5753,0.6097,0.5645058751106262,14,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt
0.4819,0.5925,0.523410975933075,20,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt
0.8214,0.8516,0.42204374074935913,99,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt
0.8085,0.8474,0.5610774755477905,15,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt
0.4716,0.4746,0.5449053049087524,17,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt
0.7944,0.8064,0.38969147205352783,87,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt
0.9438,0.9504,0.456758052110672,99,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt
0.7248,0.729,0.3897677958011627,99,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt
0.7009,0.7603,0.42162445187568665,96,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt
0.8059,0.8144,0.5493813753128052,17,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt

0.4873,0.5336,0.39034199714660645,85,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_0.pt
0.543,0.547,0.8194466829299927,0,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_1.pt
0.8035,0.8325,0.41531655192375183,93,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_2.pt
0.8701,0.8954,0.39079123735427856,83,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_3.pt
0.4714,0.5102,0.38140690326690674,87,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_4.pt
0.594,0.5994,0.7272835969924927,4,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_5.pt
0.9463,0.9535,0.46637803316116333,80,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_6.pt
0.9952,0.9959,0.3807070851325989,96,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_7.pt
0.7275,0.7859,0.4345797300338745,79,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_8.pt
0.9465,0.9547,0.39410340785980225,94,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_9.pt
0.966,0.9723,0.48908448219299316,41,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_10.pt
0.7308,0.7617,0.3696262836456299,93,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_11.pt
0.8906,0.9135,0.42185866832733154,72,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_12.pt
0.9467,0.9555,0.4742252826690674,37,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_13.pt
0.9915,0.9927,0.3989419639110565,88,./save/Random_Initialization/moe_dual_branch_WESADDataset_0/finetune/WESADDataset/finetuned_best_14.pt
